V_r,I_ub,I_b,I_φ
0.0,-2.173,0.003,-2.17
0.0008005336891260841,-1.949,0.003,-1.946
0.0016010673782521682,-1.4680000000000002,0.003,-1.465
0.002401601067378252,-1.881,0.003,-1.878
0.0032021347565043363,-2.153,0.003,-2.15
0.0040026684456304215,-1.98,0.003,-1.9769999999999999
0.004803202134756504,-1.8940000000000001,0.003,-1.891
0.005603735823882588,-1.9180000000000001,0.003,-1.915
0.006404269513008673,-1.755,0.003,-1.7519999999999998
0.007204803202134756,-2.001,0.003,-1.9980000000000002
0.008005336891260841,-1.7839999999999998,0.003,-1.781
0.008805870580386925,-1.446,0.003,-1.443
0.009606404269513008,-1.79,0.003,-1.787
0.010406937958639092,-1.9380000000000002,0.003,-1.935
0.011207471647765177,-1.4249999999999998,0.003,-1.422
0.012008005336891262,-1.717,0.003,-1.714
0.012808539026017344,-1.96,0.003,-1.9569999999999999
0.013609072715143429,-2.071,0.003,-2.068
0.014409606404269512,-1.615,0.003,-1.6119999999999999
0.015210140093395597,-1.9169999999999998,0.003,-1.914
0.016010673782521682,-2.242,0.003,-2.239
0.016811207471647764,-2.166,0.003,-2.1630000000000003
0.01761174116077385,-1.757,0.003,-1.754
0.01841227484989993,-1.391,0.003,-1.388
0.019212808539026016,-2.019,0.003,-2.016
0.0200133422281521,-1.753,0.003,-1.7500000000000002
0.020813875917278183,-2.318,0.003,-2.315
0.021614409606404268,-1.422,0.003,-1.419
0.022414943295530357,-1.8319999999999999,0.003,-1.829
0.023215476984656442,-2.262,0.003,-2.259
0.024016010673782524,-1.672,0.003,-1.669
0.024816544362908602,-1.885,0.003,-1.882
0.02561707805203469,-1.7080000000000002,0.003,-1.705
0.026417611741160776,-2.036,0.003,-2.033
0.027218145430286857,-1.86,0.003,-1.857
0.028018679119412943,-2.383,0.003,-2.38
0.028819212808539024,-1.487,0.003,-1.484
0.029619746497665113,-1.319,0.003,-1.3159999999999998
0.030420280186791195,-1.6840000000000002,0.003,-1.681
0.03122081387591728,-1.4140000000000001,0.003,-1.411
0.032021347565043365,-1.912,0.003,-1.909
0.03282188125416945,-1.8969999999999998,0.003,-1.894
0.03362241494329553,-1.972,0.003,-1.969
0.03442294863242162,-1.8130000000000002,0.003,-1.81
0.0352234823215477,-1.62,0.003,-1.6170000000000002
0.03602401601067378,-1.405,0.003,-1.402
0.03682454969979987,-1.829,0.003,-1.8259999999999998
0.03762508338892595,-1.38,0.003,-1.3770000000000002
0.03842561707805203,-1.714,0.003,-1.7109999999999999
0.03922615076717812,-1.763,0.003,-1.7600000000000002
0.0400266844563042,-1.3319999999999999,0.003,-1.3290000000000002
0.040827218145430284,-1.639,0.003,-1.636
0.041627751834556366,-1.7999999999999998,0.003,-1.797
0.042428285523682455,-1.876,0.003,-1.873
0.043228819212808536,-1.834,0.003,-1.831
0.04402935290193463,-2.043,0.003,-2.04
0.044829886591060714,-1.44,0.003,-1.4369999999999998
0.0456304202801868,-1.686,0.003,-1.683
0.046430953969312884,-1.395,0.003,-1.392
0.047231487658438966,-2.1630000000000003,0.003,-2.16
0.04803202134756505,-1.354,0.003,-1.351
0.04883255503669113,-1.281,0.003,-1.278
0.04963308872581721,-1.784,0.003,-1.781
0.0504336224149433,-1.815,0.003,-1.8119999999999998
0.05123415610406938,-1.881,0.003,-1.878
0.05203468979319546,-1.7690000000000001,0.003,-1.766
0.05283522348232155,-2.109,0.003,-2.106
